Row Labels,Average of Humidity,Average of WindSpeed,Average of Temperature,Sum of PassingYards,Sum of FieldGoalsMade,Sum of RushingYards
202311033,92,20,104,715.5,9,183
202311103,54,9,68,588.9,7.4,405.6
202311104,27,7,44,553.6,7.4,263.1
202311105,54,6,65,444.7,5.5,302.9
202311108,27,12,52,368.6,5.5,364.9
202311110,136,11,60,652.8,12.9,304.9
202311111,27,11,49,550.8,7.4,406.7
202311112,27,11,45,791.5,5.5,343.1
202311113,84,12,92,751.7,1.8,321.1
202311115,136,7,90,571.2,3.7,300.2
202311116,136,18,57,444.7,1.8,387.3
202311119,136,11,101,810.6,7.4,191.3
202311131,58,7,73,787.5,3.7,251.4
202311132,57,13,84,580.8,7.3,210.2
202311135,33,11,57,682.8,5.5,364.8
202311201,44,5,59,459.8,0.9,284.4
202311202,95,11,46,447.5,5.4,355.8
202311207,20,11,33,478.7,3.6,168.2
202311209,42,7,46,598.2,1.8,196.6
202311210,19,1,23,307.1,3.6,261.4
202311211,27,8,32,568.8,0.9,235.4
202311213,37,8,46,633.3,2.7,162.9
202311214,20,11,28,426.6,3.6,265
202311220,19,7,12,381.1,4.5,180.6
202311223,95,11,49,316.7,0.9,193.6
202311224,19,9,30,400.1,1.8,185.5
202311225,29,5,44,517.6,1.8,181.2
202311226,95,9,44,511,2.7,339.3
202311229,53,5,58,373.5,2.7,268
202311230,20,4,36,368.7,2.7,242.7
202311234,24,8,35,359.3,1.8,166.5
202311309,82,18,97,1022.3,10.4,347.6
202311312,32,13,45,770.4,10.4,461.1
202311313,71,13,97,772,10.4,340.2
202311315,65,13,97,1078.8,7.8,375.4
202311321,162,5,71,570.1,5.2,287.8
202311322,69,16,97,775.2,5.2,411.9
202311324,47,10,74,541,10.4,248.4
202311326,47,16,81,1014.2,5.2,322.9
202311328,162,18,71,536.2,5.2,460.1
202311332,81,3,97,860.8,10.4,334.3
202311333,89,11,115,613.7,2.6,427.5
202311334,45,10,71,865.7,15.6,389.4
202311335,61,16,79,665.1,2.6,421.4
202311402,2,1,3,133,0.2,53.7
202311403,27,1,10,165.3,0.4,66.4
202311406,2,0,2,104,0.2,68.2
202311407,2,0,2,139.2,0.1,27.2
202311408,2,2,10,153.9,0.1,20.2
202311409,2,1,12,128.9,0.4,46.5
202311416,1,1,3,136.5,0.2,34
202311419,11,1,17,153.6,0.2,45.9
202311422,2,1,14,69.3,0.1,78.9
202311423,2,1,3,101.9,0.3,73.3
202311424,27,1,13,106.6,0.2,32.3
202311425,2,0,12,85.9,0.1,26.8
202311428,2,0,10,116.5,0.1,25.4
202311429,12,0,17,135.2,0.1,36.4
202311431,11,0,14,172.6,0.1,55.2
202311501,41,2,49,374.1,2.5,295.9
202311504,79,4,36,180.4,1.2,277.4
202311505,79,11,41,252.3,1.9,139.5
202311507,79,4,40,496,1.9,173
202311508,25,7,34,430.2,1.9,89.6
202311511,25,6,36,396.3,0.6,209
202311512,21,12,27,526,2.6,124.6
202311514,79,6,38,305.7,1.9,192.8
202311515,40,7,46,344.1,1.9,256.9
202311519,46,11,51,287.3,1.9,74.2
202311521,79,12,44,386.2,1.9,73.1
202311522,35,6,41,322.7,1.8,114.5
202311525,24,1,39,407,0,167.6
202311530,79,4,36,277.6,1.9,219.7
202311532,48,4,52,382.9,1.3,215.3
202311534,29,5,33,338.5,3.1,165.7
202311602,48,16,67,517.3,8.6,324.2
202311605,40,7,61,638.8,4.3,313.7
202311606,54,12,60,481.2,4.3,415
202311610,24,3,29,594.3,2.9,171.9
202311613,57,13,71,705.2,0,156.4
202311616,29,13,37,370.5,2.9,293.8
202311619,120,20,88,656.9,10.1,229.3
202311620,120,12,57,803.6,2.8,194.7
202311624,29,1,52,448.8,4.3,321
202311626,43,4,53,588.3,7.2,333.9
202311628,46,6,57,751.9,4.3,209.5
202311629,61,4,73,543.7,8.6,246.6
202311631,41,3,63,707.4,7.2,270.4
202311632,120,10,72,778.4,4.3,206.1
202311633,71,14,82,707.3,4.3,132.1
202311634,58,16,70,470.4,4.3,265.7
Grand Total,54.01464291,7.413710047,58.25703471,116268.8,990.8,54075.2
